T,C,S,N,D,OBJ,CTX,time,userAgent,
5270.40,5270.40,0.00,0.00,0.00,0.00,0.00,2012-3-15 21:27:51,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
5261.80,5261.80,0.00,0.00,0.00,0.00,0.00,2012-3-15 21:29:55,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
5275.50,5275.50,0.00,0.00,0.00,0.00,0.00,2012-3-15 21:31:05,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
5251.50,5251.50,0.00,0.00,0.00,0.00,0.00,2012-3-15 21:32:20,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
5164.10,5164.10,0.00,0.00,0.00,0.00,0.00,2012-3-15 21:33:35,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
5249.30,5249.30,0.00,0.00,0.00,0.00,0.00,2012-3-15 21:34:54,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
5244.60,5244.60,0.00,0.00,0.00,0.00,0.00,2012-3-15 21:36:17,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
5171.30,5171.30,0.00,0.00,0.00,0.00,0.00,2012-3-15 21:37:32,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
5253.70,5253.70,0.00,0.00,0.00,0.00,0.00,2012-3-15 21:38:50,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
5244.20,5244.20,0.00,0.00,0.00,0.00,0.00,2012-3-19 14:49:40,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
346.10,346.10,0.00,0.00,0.00,0.00,0.00,2012-3-19 16:16:36,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.11 (KHTML- like Gecko) Chrome/17.0.963.79 Safari/535.11,
401.00,401.00,0.00,0.00,0.00,0.00,0.00,2012-3-19 16:17:53,Mozilla/5.0 (compatible- MSIE 9.0- Windows NT 6.1- Trident/5.0- SLCC2- .NET CLR 2.0.50727- .NET CLR 3.5.30729- .NET CLR 3.0.30729- Media Center PC 6.0- .NET4.0C- .NET4.0E- InfoPath.3),
