T,C,S,N,D,OBJ,CTX,time,userAgent,
1272.10,205.40,388.60,678.10,2982.85,2893.85,89.00,2012-3-15 22:14:14,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
1180.10,181.50,382.30,616.30,2982.85,2893.85,89.00,2012-3-15 22:15:15,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
1073.70,193.60,394.20,485.90,2982.85,2893.85,89.00,2012-3-15 22:15:58,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
963.10,219.20,384.80,359.10,2982.85,2893.85,89.00,2012-3-15 22:16:43,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
911.90,173.90,381.80,356.20,2982.85,2893.85,89.00,2012-3-15 22:17:00,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
801.10,166.90,388.60,245.60,2982.85,2893.85,89.00,2012-3-15 22:17:26,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
975.60,204.60,388.90,382.10,2982.85,2893.85,89.00,2012-3-15 22:17:43,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
1041.20,198.50,384.20,458.50,2982.85,2893.85,89.00,2012-3-15 22:18:03,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
1036.90,178.60,402.80,455.50,2982.85,2893.85,89.00,2012-3-15 22:19:07,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
1024.90,207.80,341.50,475.60,2982.85,2893.85,89.00,2012-3-15 22:19:34,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
